Time	DO	OURex
min	mg/l	mg/l/min
38.496615	8.4235752	0.01012578
38.5140633	8.41545556	0.00999534
38.53099	8.41416383	0.0089451
38.5479167	8.42102698	0.00818514
38.5632817	8.41835754	0.00785946
38.58047	8.41199344	0.00693516
38.5971367	8.40952993	0.005244
38.6143233	8.40752716	0.003312
38.63073	8.41259317	0.001752
38.646875	8.42141423	0.001248
38.6638033	8.41720305	0.00102
38.6796883	8.41109969	0.0001182
38.696355	8.413722	-0.001134
38.7138033	8.41469994	-0.002136
38.73047	8.42098555	-0.00252
38.746615	8.42158617	-0.00234
38.7632817	8.41776221	-0.002454
38.7799483	8.42340227	-0.002538
38.7979167	8.42440645	-0.002178
38.8138033	8.42235541	-0.001944
38.83099	8.42412907	-0.001704
38.8479167	8.42436764	-0.001422
38.8645833	8.42387191	-0.001248
38.88125	8.42372221	-0.00114
38.8979167	8.4224819	-0.00099
38.9127617	8.42811321	-0.0002604
38.9296883	8.42329186	0.0001938
38.9473967	8.41190252	-0.000888
38.9640633	8.41535794	-0.002448
38.9791667	8.42644843	-0.002754
38.996875	8.42499728	-0.002292
39.0138033	8.4242383	-0.002058
39.0302083	8.42030108	-0.002556
39.0479167	8.42140302	-0.003546
39.0638033	8.43386931	-0.003474
39.0833333	8.43129648	-0.002376
39.0984383	8.42744804	-0.001734
39.1145833	8.43206033	-0.001134
39.13099	8.43334132	0.0002826
39.1481783	8.43346906	0.001872
39.1645833	8.43462357	0.003684
39.18125	8.42989342	0.005784
39.1979167	8.4249668	0.00670308
39.2143233	8.42260672	0.00683766
39.2302083	8.42372099	0.0070839
39.246355	8.42511201	0.00767274
39.2635417	8.42545992	0.00831024
39.28125	8.42373802	0.00852204
39.2976567	8.42280383	0.00828486
39.3145833	8.42698099	0.0082248
39.33125	8.42350189	0.0081969
39.346615	8.4208904	0.00774396
39.3645833	8.42378542	0.00719022
39.3817717	8.42600033	0.00674682
39.3979167	8.43249674	0.00690024
39.4138033	8.42672941	0.00725562
39.4442717	8.42360356	0.00724758
39.4583333	8.4205497	0.00684738
39.47474	8.42325744	0.00605814
39.4914067	8.4331282	0.006219
39.5067717	8.43441536	0.0076473
39.5234383	8.42977443	0.008952
39.540625	8.42496794	0.00934434
39.558595	8.42304215	0.00925602
39.5765633	8.42707311	0.00936546
39.59323	8.43668263	0.01039116
39.6083333	8.43576079	0.01183524
39.6236983	8.42974265	0.0124542
39.6388033	8.42824407	0.01225164
39.6541667	8.42864097	0.01199202
39.6692717	8.42676312	0.01152126
39.6859383	8.42076262	0.01038048
39.7018233	8.42535504	0.0094662
39.715625	8.41951438	0.00833628
39.73099	8.41750943	0.00611952
39.746095	8.42491295	0.0045
39.7635417	8.42568935	0.003648
39.7796883	8.42816378	0.00306
39.7971367	8.42401606	0.002496
39.8138033	8.42534076	0.001986
39.8302083	8.4292699	0.00195
39.846615	8.42999178	0.00207
39.86224	8.43123556	0.002256
39.8817717	8.42841605	0.002478
39.8979167	8.42758807	0.002484
39.9145833	8.43297894	0.002592
39.93125	8.43421052	0.002886
39.9479167	8.42836006	0.002682
39.9643233	8.42840326	0.002334
39.98125	8.42414694	0.002046
39.9979167	8.4302952	0.001908
40.0138033	8.43292699	0.002124
40.0302083	8.42237832	0.001326
40.0476567	8.42593861	-9.78E-05
40.0645833	8.42881726	-0.000864
40.0799483	8.42423946	-0.00153
40.096875	8.42351902	-0.002436
40.1145833	8.4232755	-0.003582
40.13125	8.42301162	-0.005142
40.1476567	8.42619168	-0.00644952
40.1640633	8.42746749	-0.00717126
40.18047	8.43100339	-0.00731268
40.196355	8.43376545	-0.00697734
40.2135417	8.43491268	-0.00646296
40.23047	8.43538417	-0.005706
40.2479167	8.42976704	-0.005274
40.2638033	8.44010386	-0.00456
40.28099	8.44580392	-0.002478
40.2976567	8.44056839	-0.0003378
40.3143233	8.44368137	0.001236
40.33047	8.43893596	0.002496
40.346875	8.43528171	0.003306
40.3627617	8.42966944	0.003384
40.3796883	8.43012662	0.00288
40.396615	8.4359713	0.002664
40.4130217	8.42915271	0.002526
40.4294283	8.43120276	0.002304
40.446355	8.43588556	0.00273
40.4635417	8.43642381	0.003534
40.4789067	8.43791423	0.004248
40.4955733	8.43521882	0.004914
40.51224	8.43078921	0.005166
40.5289067	8.4334517	0.005274
40.5455733	8.43656209	0.005502
40.56224	8.4390007	0.0060288
40.5789067	8.44245967	0.00737454
40.5955733	8.43632564	0.00864084
40.61224	8.43498203	0.00912438
40.6291667	8.43816615	0.00964188
40.6486983	8.43994814	0.01057908
40.6661467	8.44361666	0.01210398
40.68073	8.4389738	0.01377798
40.696615	8.43295778	0.01443948
40.7164067	8.43304486	0.01450056
40.7322917	8.42848629	0.01437624
40.7513033	8.42947689	0.0140889
40.76797	8.43154169	0.01379904
40.784115	8.43174576	0.01357842
40.802865	8.43431803	0.01385928
40.8200533	8.43227775	0.01388436
40.8356783	8.42590236	0.0127701
40.852345	8.42640138	0.01143114
40.8677083	8.43241569	0.0107151
40.8846367	8.43130868	0.01038234
40.89974	8.43515932	0.01023054
40.9169283	8.44289496	0.01093608
40.9346367	8.44175632	0.01231122
40.94974	8.43675848	0.01332576
40.964845	8.43561002	0.01396038
40.98099	8.43313366	0.01432176
40.9979167	8.42787119	0.01398924
41.0143233	8.42567419	0.01295124
41.0302083	8.42780114	0.01191798
41.0471367	8.43096355	0.01146678
41.0632817	8.43398208	0.01142466
41.0791667	8.43805775	0.01154772
41.096615	8.43851148	0.0119157
41.11224	8.4299066	0.01161516
41.13073	8.42929032	0.01027272
41.146875	8.43468564	0.00916386
41.1630217	8.43606775	0.00881106
41.1799483	8.43896689	0.00868104
41.196615	8.43600252	0.008271
41.2132817	8.42869323	0.00686382
41.23047	8.43230651	0.005184
41.2471367	8.43937433	0.004836
41.2638033	8.43749199	0.005136
41.2791667	8.43234276	0.00474
41.2973967	8.42974102	0.00381
41.3132817	8.43449663	0.003042
41.3302083	8.43041772	0.002214
41.3458333	8.42734113	0.000756
41.3632817	8.43566121	-2.73E-05
